Version,full,bear_market,bull_market,sharpe_ratio,annual_return,annual_volatility,max_drawdown,total_return,n_days
v1.0,"{'sharpe': 1.6554860846910355, 'ann_return': 0.24385358527862194, 'ann_vol': 0.1473002929675078, 'max_drawdown': -0.06296467185320298, 'win_rate': 0.6904761904761905, 'n_months': 42}","{'sharpe': 1.6200787200318114, 'ann_return': 0.2313244938171346, 'ann_vol': 0.1427859590752432, 'max_drawdown': -0.04816895326761694, 'win_rate': 0.7083333333333334, 'n_months': 24}","{'sharpe': 1.608579699532441, 'ann_return': 0.24285173195397347, 'ann_vol': 0.15097276934712164, 'max_drawdown': -0.06296467185320309, 'win_rate': 0.6842105263157895, 'n_months': 19}",,,,,,
v1.2,"{'sharpe': 1.3590481035234179, 'ann_return': 0.16617139365494207, 'ann_vol': 0.12227042826823588, 'max_drawdown': -0.056586401246427886, 'win_rate': 0.5952380952380952, 'n_months': 42}","{'sharpe': 1.4534189824358354, 'ann_return': 0.1816564307392931, 'ann_vol': 0.12498559117127311, 'max_drawdown': -0.0369455503257059, 'win_rate': 0.6666666666666666, 'n_months': 24}","{'sharpe': 1.1579379795953677, 'ann_return': 0.1344825556594823, 'ann_vol': 0.11613968798784559, 'max_drawdown': -0.056586401246427886, 'win_rate': 0.5263157894736842, 'n_months': 19}",,,,,,
v1.3,,,,1.41,15.2,10.8,-4.74,,
v1.4,,,,1.6119160751267496,18.61875020362964,11.550694537347793,-9.997587536924126,0.740620557128497,818.0
