scenario,offset,smoothing,window,sharpe,ann_return,ann_vol,max_dd,win_rate,n_months
"Baseline (offset=0, no smoothing)",0,False,1,1.3155337869254875,0.146583480191131,0.11142509728595329,-0.053979956398549134,0.5952380952380952,42
"Case A (offset=0, 3-day smoothing)",0,True,3,1.4138291957596165,0.1523555762920161,0.107760949306298,-0.0473837137170432,0.5714285714285714,42
"Case B-1 (offset=1, no smoothing)",1,False,1,1.252536032098182,0.14162255123950468,0.11306864442236131,-0.053636241379119376,0.5238095238095238,42
"Case B-2 (offset=2, no smoothing)",2,False,1,1.2814639083280972,0.15914786230238048,0.12419223145349277,-0.041775319457507454,0.5714285714285714,42
"Case C-1 (offset=1, 3-day smoothing)",1,True,3,1.2420338964608562,0.14415769609283874,0.11606583081477279,-0.05125231888078474,0.5714285714285714,42
"Case C-2 (offset=2, 3-day smoothing)",2,True,3,1.300385626508384,0.1639564433377429,0.1260829403182317,-0.040352126497823715,0.5714285714285714,42
